,arvandherd,bfs-f,cedalion,freelunch,ibacop2,ibacop,jasper,mercury,mpc,m,probe,siw,use,yahsp3-mt,yahsp3,bestQ,bestS
p01,"0.32","0.33","0.32","0.42",0,"0.65","0.32","0.34",0,0,"0.36","0.32","0.33","0.85",1,1474,"1.5"
p02,0,0,"0.33","0.45",0,"0.68",0,"0.34",0,0,"0.34",0,0,"0.78",1,2528,"2.1"
p03,"0.31","0.32","0.32","0.44",0,"0.65","0.31","0.34",0,0,"0.33",0,"0.32","0.86",1,1885,"1.5"
p04,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.78",1,9712,"6.6"
p05,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.72",1,12540,13
p06,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.8",1,9712,"6.6"
p07,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.85",1,9553,"8.4"
p08,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.86",1,10621,"12.3"
p09,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.85",1,9553,"8.5"
p10,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.79",1,10021,"7.6"
p11,"0.31",0,"0.32","0.46",0,"0.66",0,"0.33",0,0,"0.33",0,0,"0.81",1,1687,"1.8"
p12,0,0,"0.33","0.49",0,0,0,"0.34",0,0,0,0,0,"0.84",1,1868,"2.6"
p13,"0.34","0.36","0.34","0.5",0,0,"0.33","0.35",0,0,"0.38",0,"0.34","0.65",1,1691,"1.9"
p14,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.81",1,11687,"7.4"
p15,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.67",1,12437,"10.2"
p16,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.69",1,10175,"6.1"
p17,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.77",1,10606,"8.5"
p18,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.87",1,11132,"12.6"
p19,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.8",1,10489,"6.5"
p20,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.9",1,7929,"9.3"
,"1.29",1,"1.97","2.76",0,"2.64","0.96","2.04",0,0,"1.74","0.32","0.98","15.97",20,,
