,arvandherd,bfs-f,cedalion,freelunch,ibacop2,ibacop,jasper,mercury,mpc,m,probe,siw,use,yahsp3-mt,yahsp3
p01,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
p02,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1
p03,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1
p04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p11,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1
p12,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
p13,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1
p14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
p20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,4,3,6,6,0,4,3,6,0,0,5,1,3,20,20
