,arvandherd,dae_yahsp,ibacop,ibacop2,miplan,nucelar,planets,use,yahsp3-mt,best
p01,1,0,"0.92","0.92","0.75","0.55",0,"0.71","0.66",1873
p02,1,0,"0.62","0.75","0.42",0,0,"0.53","0.55",2513
p03,"0.77",0,"0.76",1,"0.95","0.66",0,"0.86","0.78",2513
p04,0,0,0,"0.88",0,0,0,0,1,8154
p05,0,0,0,"0.87",0,0,0,0,1,11675
p06,0,0,0,0,0,0,0,0,1,8332
p07,0,0,0,0,0,0,0,1,"0.99",7761
p08,0,0,0,0,0,0,0,0,1,8666
p09,0,0,0,0,0,0,0,1,"0.94",7761
p10,0,0,0,0,0,0,0,0,1,8648
p11,1,0,"0.68","0.84","0.83","0.47",0,"0.48","0.74",1786
p12,1,"0.57",0,"0.87","0.55",0,0,"0.68","0.65",2185
p13,1,0,"0.78","0.79","0.83","0.84",0,"0.51","0.45",1719
p14,0,0,0,0,0,0,0,0,1,8683
p15,0,0,0,0,0,0,0,0,1,11831
p16,0,0,0,"0.76",0,0,0,0,1,8354
p17,0,0,0,0,0,0,0,0,1,8336
p18,0,0,0,0,0,0,0,0,1,10840
p19,0,0,0,0,0,0,0,1,"0.95",6878
p20,0,0,0,0,0,0,0,0,1,6668
,"5.77","0.57","3.76","7.66","4.33","2.52",0,"6.77","17.71",
