,all-paca,cedalion,cgamer-bd,dpmplan,dynamic-gamer,gamer,hflow,hpp,hpp-ce,metis,miplan,nucelar,rida,rlazya,spmas,symba-1,symba-2,Best
p01,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,148
p02,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,191
p03,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,300
p04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,250
p05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p07,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,967
p08,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1173
p09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p13,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,594
p14,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,526
p15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,753
p16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
p20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
,5,6,8,6,7,6,5,0,0,6,0,7,8,6,9,9,9,
